Review,Rating,One-word Review,Product ID
"I have been using the Pixel 8 for 2 months. Here is my experience so far. I'll divide the review in Pros and cons.
Pro:
1. Camera: So far this is the proper point and shoot camera. Just open the camera, click pictures and they will turn out to be great. Compared to Samsung's, iphone people prefer pictures by pixel, be it any situation.
2. UI: There's a following for pixel users that blindly opt for it. I'll have to say they are right about it. It was a great experience using it any day. If yo...
READ MORE",5,Brilliant,MOBGW6NGMC7FNGMC
Almost impossible to take a bad shot with this phone. Completely loved it !,5,Just wow!,MOBGW6NGMC7FNGMC
"Love it so much 😍
I think Design is better than other phone
Only needed camera pro mode",5,Wonderful,MOBGW6NGMC7FNGMC
Good camera.AI features editor amazing,5,Just wow!,MOBGW6NGMC7FNGMC
"My first device has damaged and then I got a complete replacement through F1 info solutions. It's been a month of usage, I'm facing serious heating issues and battery draining. Afterall, it's beast especially for camera, vibration motor, crispy display.overall phenomenal experience 😍",4,Pretty good,MOBGW6NGMC7FNGMC
"Overall it's a good premium stock Android phone.

Battery heats up (when exposed in the direct sun) sometimes and slows down the charging speed.

Otherwise it's a smooth and top notch phone as you expect from a Pixel device.",4,Worth the money,MOBGW6NGMC7FNGMC
Very premium looking and compact. Good camera and filled with amazing ai features!!!! Overall very balanced phone💙.,5,Terrific purchase,MOBGW6NGMC7FNGMC
"I got it yesterday; There is a difference between warm and hot! It feels warm when gaming (not heat) and it's slightly more warmer during charging than gaming(This is my true experience in one day whole usage). Kindly, don't believe others complaining, they are just bots. It's build quality is top notch buy back is slippery mind it! Get a case and other accessories as soon as u can. Camera, believe me Unbeatable! Battery when not in use don't drain but when in use, it drains ideally....not li...
READ MORE",5,Must buy!,MOBGW6NGMC7FNGMC
"Probably the best android phone in terms of user expirience.
Lots of things to learn.camera captures real photos.
Only issue is phone heating on the side aluminium panel which is really annoying considering its winter in india.
I will post another review in a month after heavy gaming.",4,Worth the money,MOBGW6NGMC7FNGMC
"Whoever is thinking bout buying the phone right now stop. If you ain't getting any good offers or you are not a pixel fan, then there is no point in buying this phone at this price.
Pros:-

Cameras: like every other youtuber is saying bout this phones cameras, it's top class. The raw photos has really good details and the dynamic range is pretty good. I would say photos are better than the iphones. Videos with this phone can easily be compared with the videos from iphone 13/14/15. Also you wi...
READ MORE",4,Value-for-money,MOBGW6NGMC7FNGMC
I bought p8 for 54k with cc and exchange and other offer.so far I am highly satisfied. Display is great but less contrasty so you feel washed out colour after switching from old phone. I am getting 6 to 7 hrs of SOT with a new software update. The phone will be warm some time on the network but not on wifi. I haven't noticed any call drops. I think the recent software update resolved many issues. Go for it if you are not a gamer.,5,Highly recommended,MOBGW6NGMC7FNGMC
"I recently upgraded from iPhone 14 to Google Pixel 8. And it's worth every penny.
Don't hesitate and just go for it, without any second thought.",5,Brilliant,MOBGW6NGMC7FNGMC
"Perfect size phone for a compact phone user. Hazel color looks amazing.
It has the best display on a phone in the world(check DXOMark rating).
The phone is quick and the touch is amazing!
Battery life is decent considering display quality and the brightness.
I'm yes and to test the camera, but pixel never disappoints in that genre😆",5,Fabulous!,MOBGW6NGMC7FNGMC
"The phone is excellent. No heating, but it does get ever so slightly warm but no where close to how hot tensor G1 and G2 got.performance is top notch. Haptic on this phone is ultimate it's way better than any other phone including iphones. Display is beautiful. This time Google nailed it. Feels very premium.",5,Perfect product!,MOBGW6NGMC7FNGMC
"Initial impressions (its been about three days since I got the phone)
The phone looks and feels GREAT. Better in real life than in pictures (even the official pictures put up by Google). Definitely an eye-turner in a market full of samsungs and apples.
The camera lives up to the hype. Realistic images - what you see with your eyes is what the phone captures.
The display is amazing, the UI is smooth and has that premium feel because of the small details (animations, etc) that google pays att...
READ MORE",4,Nice product,MOBGW6NGMC7FNGMC
"Bought for 32k Good for that price range,will share After 3 or 6 months",5,Super!,MOBGW6NGMC7FNGMC
"feel premium..display,camera and biuld quality superb..heats little bit if u use continuously",5,Must buy!,MOBGW6NGMC7FNGMC
"Using pixel 8, 256gb from past one month its very smooth and cool. But the battery won't last more and
Not suitable for gaming.

Superb camera quality.
Design wise looking decent and immersive.",5,Worth every penny,MOBGW6NGMC7FNGMC
"Camera 10/10
User Experience 10/10
Display 10/10
Performance 10/10 - No issues so far

120Hz display feels so much better",5,Mind-blowing purchase,MOBGW6NGMC7FNGMC
Just looking like a 😳 worth,5,Classy product,MOBGW6NGMC7FNGMC
"Must buy amazing phone,camera quality awesome,in hand feel also awesome, just go for it",5,Highly recommended,MOBGW6NGMC7FNGMC
Nice performance of camera... Good Software experience.. Battery 🔋 performance also good for the full day,5,Classy product,MOBGW6NGMC7FNGMC
I'll update this review once my phone receives 1 or 2 updates because the heating issues are pretty bad,5,Perfect product!,MOBGW6NGMC7FNGMC
Much better than My older pixel 7.Really licked pixel 8 a lot.,5,Highly recommended,MOBGW6NGMC7FNGMC
"Just perfect phone. Don't go with negative ratings. Phone is so good for normal usage. No heating issue so far. If you feel battery draining fast, then disable digital wellbeing app through Android debloater.",5,Mind-blowing purchase,MOBGW6NGMC7FNGMC
"What you'll like:
- Great pics.. no matter what the lighting. Came here from an S22 Ultra. Unlike that, the P8 naturally knows when and how to take the perfect, contrasty pic. IDK how!!
- 'Best take' feature is a must have. Boon if you have kids or take a lot of group pics.
- Compact, Fast and Great Screen... easily visible even in direct sunlight.
- Slick haptics
- Battery lasts an entire day
- Smartness just evenly spread across the entire OS.
- Superb value if bought during the sale.

W...
READ MORE",5,Excellent,MOBGW6NGMC7FNGMC
brilliant color...brilliant phone!,5,Must buy!,MOBGW6NGMC7FNGMC
"Camera is very excellent, smoothly working, 10-12 hour battery backup on screen.",5,Terrific purchase,MOBGW6NGMC7FNGMC
One of the best cameras you can get on Android phones,5,Highly recommended,MOBGW6NGMC7FNGMC
Pixel is King👑,5,Terrific,MOBGW6NGMC7FNGMC
